domain,crawl_count,use_optimizely,rank
blissxo.com,31,0,458151
blocket.se,10,0,2310
blog-directory.org,60,0,898655
blogdotarso.com,2,0,768552
bloggerexp.com,30,0,719171
bloggerspassion.com,3,0,94751
blogilates.com,14,0,56601
blogodorium.com.br,4,0,111335
blogofholding.com,3,0,621435
bloomandwild.com,29,0,235339
blowltd.com,18,0,633455
blr.com,50,0,63011
blueapron.com,15,15,10673
bluebottlecoffee.com,27,0,70745
bluebuffalo.com,31,0,151256
bluejeans.com,3,0,10054
bluekc.com,1,0,132944
bluerank.pl,17,0,632797
blueseatblogs.com,6,0,392101
blueshop.ca,30,0,492746
bluesmart.com,20,0,272270
bluesnap.com,122,0,23749
bluestone.com,90,0,54947
bmwpower.lv,27,0,330709
bmwsections.com,27,0,464891
boasaudesuplementos.com.br,2,0,605460
bodybuilding.com,182,170,959
bodylogicmd.com,31,0,506861
bodystore.com,31,0,189705
bodystore.dk,31,0,278168
bollandbranch.com,31,0,90934
bombas.com,1,0,44862
bombbomb.com,20,0,83906
bomgar.com,31,0,123547
bona.com,31,28,179984
bonatex.cz,30,0,411540
bonatex.sk,1,0,675609
bonaverde.com,2,0,907344
bondfaro.com.br,6,0,24903
bonds.com.au,3,3,63975
bonesmart.org,30,0,274809
bonlook.com,31,0,222723
bonsai.io,13,0,678770
bonuseventus.org,1,0,265485
book-pal.com,1,0,650724
bookatable.co.uk,31,0,91857
bookatable.com,6,0,61842
bookatiger.com,17,0,274108
bookbub.com,60,0,15256
bookedin.com,2,0,324986
booker.com,5,0,26960
bookfhr.com,6,0,864745
bookfresh.com,6,0,468814
bookingbuddy.com,24,6,5073
bookit.com,56,54,42898
booklive.jp,12,0,16757
bookyourdive.com,2,0,437090
boomeranggmail.com,93,0,68971
boost-project.com,2,0,411865
boost.com.au,25,0,186802
boostsuite.com,8,0,461049
bootstraptor.com,11,0,665052
boozingear.com,5,0,827254
boq.com.au,4,0,44598
borgenproject.org,31,0,77706
bornfitness.com,1,0,307565
borrowmydoggy.com,1,0,153628
bosca.com,31,0,349194
boschcarservice.com,1,0,386127
boston.com,106,0,5165
bostonglobe.com,11,0,5115
bottonline.co.uk,1,0,969177
botw.org,92,0,159274
boundgods.com,2,0,931702
bourbonandboots.com,31,0,394529
bowanddrape.com,23,0,733391
boxertv.dk,30,0,280872
boycj.com,2,0,850894
bradsdeals.com,39,0,7113
brandcrowd.com,62,0,92206
brandicarlile.com,2,0,648159
brandle.pl,38,0,820933
bravosolution.co.uk,1,0,227912
brazilaustralia.com,12,0,851974
bread.org,1,0,611026
breadcrumb.com,1,0,119253
break.com,143,0,9346
breakthrough.com,31,0,442613
breathehr.com,31,0,57285
breathingcolor.com,31,0,259731
brecks.com,30,0,385997
briangavindiamonds.com,10,0,331063
brighterblooms.com,31,0,410908
brightidea.com,24,0,253882
brightminds.co.uk,30,0,321141
brightpearl.com,91,0,74390
brightroll.com,3,0,159331
brightstorm.com,31,0,68540
brighttalk.com,35,0,31309
bringmeister.de,30,0,252048
brisbanetimes.com.au,90,0,25063
brit.co,91,0,12741
brita.com,5,5,223712
broadbandchoices.co.uk,152,152,55798
broadbandchoicespartners.co.uk,31,31,609919
broadvoice.com,26,0,626151
brokerlink.ca,31,0,917969
brooklinen.com,2,0,45840
brooklynbrewshop.com,1,0,475782
brooktaverner.co.uk,1,0,281946
brother.co.jp,81,0,18362
brotherswithglass.com,1,0,388350
brownies.com,31,30,827377
brpboxshop.com,31,0,756797
brunch.fr,8,0,983655
brunomars.com,5,0,209229
bryanuniversity.edu,62,0,389129
brydgekeyboards.com,1,0,247760
bscapply.com,1,0,94011
bt.com.au,1,0,224766
bt.no,87,0,17965
btcjam.com,51,0,255396
bti.de,31,0,612088
btownmenus.com,31,0,301404
bts.com,15,0,417655
bucketfeet.com,1,0,230211
buckmason.com,14,0,153044
budchlap.sk,1,1,219636
budgetair.be,6,0,987960
budgetair.co.uk,18,0,114077
budgetair.com,14,0,86537
budgetair.com.au,1,0,331440
budgetair.com.tw,2,0,491115
budgetair.es,8,0,329479
budgetair.fr,9,0,161512
budgetair.in,4,0,360073
budgetair.nl,12,0,326563
budgetsport.fi,31,0,224069
budlight.com,15,0,552664
budsies.com,31,0,262431
budweiser.com,70,0,266959
bugherd.com,39,0,143689
buildasign.com,93,0,71725
builddirect.com,116,0,63701
buildingengines.com,1,0,184550
buildor.se,31,0,435596
buildzoom.com,100,0,88801
bulkregister.com,209,0,202992
bullhorn.com,42,41,79972
bullsonwallstreet.com,25,0,226856
busbank.com,3,0,682246
busbud.com,31,0,23225
buscape.com.br,19,0,2650
buscapecompany.com,56,0,351757
buscojobs.cl,2,0,293661
buscojobs.com.ar,3,0,407642
buscojobs.com.br,1,0,144968
buscojobs.com.co,3,0,412410
buscojobs.com.ec,3,0,701437
buscojobs.com.es,1,0,144227
buscojobs.com.pr,3,0,460609
buscojobs.com.py,1,0,599385
buscojobs.com.uy,3,0,220427
buscojobs.com.ve,1,0,796892
buscojobs.cr,2,0,638154
buscojobs.mx,6,0,239658
buscojobs.pe,2,0,336951
buscouniversidad.com.ar,31,0,167494
busiki-kolechki.ru,31,0,398775
business-web-directorysite.org,30,0,670116
businessadministrationinformation.com,14,0,733461
businessadviceforum.com,86,0,333888
businessesforsale.com,90,0,32697
businessforsale.sg,1,0,585133
businessname.com.au,12,0,570450
bustedcoverage.com,33,0,100944
busuu.com,92,92,18290
buyandsellhair.com,31,0,498201
buybrandtools.com,1,0,988919
buyfencingdirect.co.uk,1,0,651151
buyshedsdirect.co.uk,22,0,602981
buzznet.com,123,0,146145
buzzsprout.com,12,0,113294
buzztime.com,26,0,259098
bwmov.cn,4,0,874113
byggern.no,1,0,465019
